PRODUCT SYMBOL,CONTRACT MONTH,CONTRACT YEAR,CONTRACT DAY,CONTRACT,PRODUCT DESCRIPTION,OPEN,HIGH,HIGH AB INDICATOR,LOW,LOW AB INDICATOR,LAST,LAST AB INDICATOR,SETTLE,PT CHG,EST. VOL,PRIOR SETTLE,PRIOR VOL,PRIOR INT,TRADEDATE
0GC,04,2021,,0GCJ21,Test Gold,1792.1,1792.1,,1792.1,,1792.1,,,0,11,,,,11/30/2020
4GC,12,2020,,4GCZ20,Gold Enhanced Delivery Futures,,,,,,1784.6,B,1775.9,-6.2,0,1782.1,,,11/30/2020
4GC,01,2021,,4GCF21,Gold Enhanced Delivery Futures,,,,,,,,1779.1,-6.2,0,1785.3,,,11/30/2020
4GC,02,2021,,4GCG21,Gold Enhanced Delivery Futures,,,,,,1790.5,B,1780.9,-6.4,0,1787.3,,10,11/30/2020
4GC,04,2021,,4GCJ21,Gold Enhanced Delivery Futures,,,,,,,,1781.6,-6.4,0,1788.0,,,11/30/2020
4GC,06,2021,,4GCM21,Gold Enhanced Delivery Futures,,,,,,,,1778.5,-6.4,0,1784.9,,,11/30/2020
4GC,08,2021,,4GCQ21,Gold Enhanced Delivery Futures,,,,,,,,1774.7,-6.4,0,1781.1,,,11/30/2020
4GC,10,2021,,4GCV21,Gold Enhanced Delivery Futures,,,,,,,,1770.4,-6.4,0,1776.8,,,11/30/2020
4GC,12,2021,,4GCZ21,Gold Enhanced Delivery Futures,,,,,,,,1765.9,-6.4,0,1772.3,,,11/30/2020
4GC,02,2022,,4GCG22,Gold Enhanced Delivery Futures,,,,,,,,1763.0,-6.4,0,1769.4,,,11/30/2020
4GC,06,2022,,4GCM22,Gold Enhanced Delivery Futures,,,,,,,,1751.7,-6.4,0,1758.1,,,11/30/2020
4GC,08,2022,,4GCQ22,Gold Enhanced Delivery Futures,,,,,,,,1749.7,-6.4,0,1756.1,,,11/30/2020
4GC,10,2022,,4GCV22,Gold Enhanced Delivery Futures,,,,,,,,1744.6,-6.4,0,1751.0,,,11/30/2020
4GC,12,2022,,4GCZ22,Gold Enhanced Delivery Futures,,,,,,,,1739.5,-6.4,0,1745.9,,,11/30/2020
4GC,06,2023,,4GCM23,Gold Enhanced Delivery Futures,,,,,,,,1727.4,-6.4,0,1733.8,,,11/30/2020
4GC,12,2023,,4GCZ23,Gold Enhanced Delivery Futures,,,,,,,,1715.1,-6.4,0,1721.5,,,11/30/2020
4GC,06,2024,,4GCM24,Gold Enhanced Delivery Futures,,,,,,,,1703.0,-6.4,0,1709.4,,,11/30/2020
4GC,12,2024,,4GCZ24,Gold Enhanced Delivery Futures,,,,,,,,1691.0,-6.4,0,1697.4,,,11/30/2020
4GC,06,2025,,4GCM25,Gold Enhanced Delivery Futures,,,,,,,,1679.0,-6.4,0,1685.4,,,11/30/2020
4GC,12,2025,,4GCZ25,Gold Enhanced Delivery Futures,,,,,,,,1667.0,-6.4,0,1673.4,,,11/30/2020
4GC,06,2026,,4GCM26,Gold Enhanced Delivery Futures,,,,,,,,1655.0,-6.4,0,1661.4,,,11/30/2020
AEP,11,2020,,AEPX20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,98.10,+.12,0,97.98,,1217,11/30/2020
AEP,12,2020,,AEPZ20,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,106.09,UNCH,0,106.09,,1316,11/30/2020
AEP,01,2021,,AEPF21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,959,11/30/2020
AEP,02,2021,,AEPG21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,1007,11/30/2020
AEP,03,2021,,AEPH21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,996,11/30/2020
AEP,04,2021,,AEPJ21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,941,11/30/2020
AEP,05,2021,,AEPK21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,856,11/30/2020
AEP,06,2021,,AEPM21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,760,11/30/2020
AEP,07,2021,,AEPN21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,639,11/30/2020
AEP,08,2021,,AEPQ21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,571,11/30/2020
AEP,09,2021,,AEPU21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,553,11/30/2020
AEP,10,2021,,AEPV21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,597,11/30/2020
AEP,11,2021,,AEPX21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,546,11/30/2020
AEP,12,2021,,AEPZ21,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,105.00,UNCH,0,105.00,,510,11/30/2020
AEP,01,2022,,AEPF22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
AEP,02,2022,,AEPG22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
AEP,03,2022,,AEPH22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
AEP,04,2022,,AEPJ22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
AEP,05,2022,,AEPK22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
AEP,06,2022,,AEPM22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
AEP,07,2022,,AEPN22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
AEP,08,2022,,AEPQ22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
AEP,09,2022,,AEPU22,Aluminium European Premium Metal Bulletin (25mt-du,,,,,,,,,UNCH,0,103.00,,,11/30/2020
ALA,11,2020,,ALAX20,Alumina Fob Australia (platts) Futures,,,,,,,,278.00,UNCH,0,278.00,,113,11/30/2020
ALA,12,2020,,ALAZ20,Alumina Fob Australia (platts) Futures,,,,,,,,295.00,UNCH,0,295.00,,140,11/30/2020
ALA,01,2021,,ALAF21,Alumina Fob Australia (platts) Futures,,,,,,,,305.00,UNCH,0,305.00,,120,11/30/2020
ALA,02,2021,,ALAG21,Alumina Fob Australia (platts) Futures,,,,,,,,305.00,UNCH,0,305.00,,120,11/30/2020
ALA,03,2021,,ALAH21,Alumina Fob Australia (platts) Futures,,,,,,,,303.57,UNCH,0,303.57,,70,11/30/2020
ALA,04,2021,,ALAJ21,Alumina Fob Australia (platts) Futures,,,,,,,,303.00,UNCH,0,303.00,,50,11/30/2020
ALA,05,2021,,ALAK21,Alumina Fob Australia (platts) Futures,,,,,,,,303.00,UNCH,0,303.00,,50,11/30/2020
ALA,06,2021,,ALAM21,Alumina Fob Australia (platts) Futures,,,,,,,,320.00,UNCH,0,320.00,,50,11/30/2020
ALA,07,2021,,ALAN21,Alumina Fob Australia (platts) Futures,,,,,,,,320.00,UNCH,0,320.00,,50,11/30/2020
ALA,08,2021,,ALAQ21,Alumina Fob Australia (platts) Futures,,,,,,,,320.00,UNCH,0,320.00,,50,11/30/2020
ALA,09,2021,,ALAU21,Alumina Fob Australia (platts) Futures,,,,,,,,320.00,UNCH,0,320.00,,50,11/30/2020
ALI,12,2020,,ALIZ20,Physical Aluminum Futures,,,,,,,,2029.75,+52.00,0,1977.75,,14,11/30/2020
ALI,01,2021,,ALIF21,Physical Aluminum Futures,2028.75,2028.75,,2028.50,A,2027.00,A,2035.25,+54.25,5,1981.00,,51,11/30/2020
ALI,02,2021,,ALIG21,Physical Aluminum Futures,2032.75,2043.00,B,2032.75,,2030.00,A,2039.50,+52.00,5,1987.50,,88,11/30/2020
ALI,03,2021,,ALIH21,Physical Aluminum Futures,,2045.50,B,,,2045.50,B,2042.00,+54.25,0,1987.75,,24,11/30/2020
ALI,04,2021,,ALIJ21,Physical Aluminum Futures,,,,,,,,2043.75,+54.25,0,1989.50,,,11/30/2020
ALI,05,2021,,ALIK21,Physical Aluminum Futures,,,,,,,,2043.75,+54.25,0,1989.50,,,11/30/2020
ALI,06,2021,,ALIM21,Physical Aluminum Futures,,,,,,,,2058.75,+54.25,0,2004.50,,,11/30/2020
ALI,07,2021,,ALIN21,Physical Aluminum Futures,,,,,,,,2058.75,+54.25,0,2004.50,,,11/30/2020
ALI,08,2021,,ALIQ21,Physical Aluminum Futures,,,,,,,,2058.75,+54.25,0,2004.50,,,11/30/2020
ALI,09,2021,,ALIU21,Physical Aluminum Futures,,,,,,,,2058.75,+54.25,0,2004.50,,,11/30/2020
ALI,10,2021,,ALIV21,Physical Aluminum Futures,,,,,,,,2058.75,+54.25,0,2004.50,,,11/30/2020
ALI,11,2021,,ALIX21,Physical Aluminum Futures,,,,,,,,2058.75,+54.25,0,2004.50,,,11/30/2020
ALI,12,2021,,ALIZ21,Physical Aluminum Futures,,,,,,,,2058.75,+54.25,0,2004.50,,,11/30/2020
